year,epi_week,url_www_mirror,note
2023,16,https://www.nih.org.pk/wp-content/uploads/2023/04/Weekly Report-16-2023.pdf,extracted (full build)
2023,22,https://www.nih.org.pk/wp-content/uploads/2023/08/Weekly_Report_22_2023.pdf,extracted (full build)
2023,23,https://www.nih.org.pk/wp-content/uploads/2023/08/Weekly_Report_23_2023.pdf,extracted (full build)
2023,24,https://www.nih.org.pk/wp-content/uploads/2023/08/Weekly_Report_24_2023.pdf,extracted (full build)
2023,25,https://www.nih.org.pk/wp-content/uploads/2023/08/Weekly_Report_25_2023.pdf,extracted (full build)
2023,26,https://www.nih.org.pk/wp-content/uploads/2023/07/Weekly_Report_26_2023.pdf,extracted (full build)
2023,27,https://www.nih.org.pk/wp-content/uploads/2023/08/Weekly_Report_27_2023.pdf,extracted (full build)
2023,28,https://www.nih.org.pk/wp-content/uploads/2023/08/Weekly_Report_28_2023.pdf,extracted (full build)
2023,29,https://www.nih.org.pk/wp-content/uploads/2023/08/Weekly_Report_29_2023.pdf,extracted (full build)
2023,30,https://www.nih.org.pk/wp-content/uploads/2023/08/Weekly_Report_30_2023.pdf,extracted (full build)
2023,31,https://www.nih.org.pk/wp-content/uploads/2023/08/Weekly_Report_31_2023.pdf,extracted (full build)
2023,32,https://www.nih.org.pk/wp-content/uploads/2023/08/Weekly_Report_32_2023.pdf,extracted (full build)
2023,33,https://www.nih.org.pk/wp-content/uploads/2023/09/Weekly_Report_33_2023.pdf,extracted (full build)
2023,34,https://www.nih.org.pk/wp-content/uploads/2023/09/Weekly_Report_34_2023.pdf,extracted (full build)
2023,35,https://www.nih.org.pk/wp-content/uploads/2023/09/Weekly_Report_35_2023.pdf,extracted (full build)
2023,36,https://www.nih.org.pk/wp-content/uploads/2023/10/Weekly_Report_36_2023.pdf,extracted (full build)
2023,37,https://www.nih.org.pk/wp-content/uploads/2023/10/Weekly Report-37-2023.pdf,extracted (full build)
2023,38,https://www.nih.org.pk/wp-content/uploads/2023/10/Weekly Report-38-2023.pdf,extracted (full build)
2023,39,https://www.nih.org.pk/wp-content/uploads/2023/10/Weekly Report-39-2023.pdf,extracted (full build)
2023,40,https://www.nih.org.pk/wp-content/uploads/2023/10/Weekly Report-40-2023.pdf,extracted (feasibility-check sample)
2023,41,https://www.nih.org.pk/wp-content/uploads/2023/10/Weekly_Report_41_2023.pdf,extracted (full build)
2023,42,https://www.nih.org.pk/wp-content/uploads/2023/11/Weekly Report-42-2023.pdf,extracted (full build)
2023,43,https://www.nih.org.pk/wp-content/uploads/2023/11/Weekly Report-43-2023.pdf,extracted (full build)
2023,44,https://www.nih.org.pk/wp-content/uploads/2023/11/Weekly Report-44-2023.pdf,extracted (full build)
2023,45,https://www.nih.org.pk/wp-content/uploads/2023/11/Weekly Report-45-2023.pdf,extracted (full build)
2023,46,https://www.nih.org.pk/wp-content/uploads/2024/01/Weekly Report-46-2023.pdf,extracted (full build)
2023,47,https://www.nih.org.pk/wp-content/uploads/2024/01/Weekly Report-47-2023.pdf,extracted (full build)
2023,48,https://www.nih.org.pk/wp-content/uploads/2024/01/Weekly Report-48-2023.pdf,extracted (full build)
2023,49,https://www.nih.org.pk/wp-content/uploads/2024/01/Weekly Report-49-2023.pdf,extracted (full build)
2023,50,https://www.nih.org.pk/wp-content/uploads/2024/01/Weekly Report-50-2023.pdf,extracted (full build)
2023,51,https://www.nih.org.pk/wp-content/uploads/2024/01/Weekly Report-51-2023.pdf,extracted (full build)
2023,52,https://www.nih.org.pk/wp-content/uploads/2024/01/Weekly Report-52-2023.pdf,extracted (full build)
2024,1,https://www.nih.org.pk/wp-content/uploads/2024/01/Weekly Report-01-2024.pdf,extracted (full build)
