raw_label,canonical_unit,unit_type,parent_district,applies_from,applies_to,note
Abbottaba,Abbottabad,typo,,,,
Abbottabad,Abbottabad,district,,,,
Bajaur,Bajaur,district,,,,
Bannu,Bannu,district,,,,
Battagram,Battagram,district,,,,
Buner,Buner,district,,,,
Charsadda,Charsadda,district,,,,
Chitral Lower,Chitral Lower,district,,,,
Chitral Upper,Chitral Upper,district,,,,
D.I. Khan,D.I. Khan,district,,,,
Dir Lower,Dir Lower,district,,,,
Dir Upper,Dir Upper,district,,,,
Hangu,Hangu,district,,,,
Hangue,Hangu,typo,,,,
Haripur,Haripur,district,,,,
Karak,Karak,district,,,,
Khyber,Khyber,district,,,,
Kohat,Kohat,district,,,,
Kohistan Lower,Kohistan Lower,district,,,,
Kohistan Upper,Kohistan Upper,district,,,,
Kolai Palas,Kolai Palas,district,,,,
L & C Kurram,Lower & Central Kurram,district,,,,
Lakki Marwat,Lakki Marwat,district,,,,
Malakand,Malakand,district,,,,
Mansehra,Mansehra,district,,,,
Mardan,Mardan,district,,,,
Mohmand,Mohmand,district,,,,
NWA,North Waziristan,district,,,,
North Waziristan,North Waziristan,district,,,,
Nowshera,Nowshera,district,,,,
Orakzai,Orakzai,district,,,,
Peshawar,Peshawar,district,,,,
SD Bannu,SD Bannu,subdivision,Bannu,,,
SD DI Khan,SD DI Khan,subdivision,D.I. Khan,,,
SD Kohat,SD Kohat,subdivision,Kohat,,,
SD Lakki,SD Lakki,subdivision,Lakki Marwat,,,
SD Peshawar,SD Peshawar,subdivision,Peshawar,,,
SD Tank,SD Tank,subdivision,Tank,,,
SW (L),South Waziristan Lower,district,,,,
SW(U),South Waziristan Upper,district,,,,
SWA,South Waziristan (undivided),district,,2023w34,2024w49,Legacy 'South Waziristan Agency' label; denotes the UNDIVIDED district while it is the only South Waziristan row reported. Do not equate with either Lower or Upper.
SWA,South Waziristan Upper,district,,2024w50,2024w52,From 2024 w50 'South Waziristan (Lower)' reports separately and SWA becomes the residual (Upper); continues as 'SWU' from 2025 w1.
SWU,South Waziristan Upper,district,,,,
Shangla,Shangla,district,,,,
South Waziristan (Lower),South Waziristan Lower,district,,,,
South Waziristan (Upper),South Waziristan Upper,district,,,,
Swabi,Swabi,district,,,,
Swat,Swat,district,,,,
Tank,Tank,district,,,,
Tor Ghar,Tor Ghar,district,,,,
Upper Kurram,Upper Kurram,district,,,,
