year,epi_week,district_as_printed,district,unit_type,parent_district,condition_as_printed,condition,cases
2023,16,Abbottabad,Abbottabad,district,,AD (NonCholera),AD_noncholera,338
2023,16,Abbottabad,Abbottabad,district,,Malaria,Malaria,0
2023,16,Abbottabad,Abbottabad,district,,ILI,ILI,4
2023,16,Abbottabad,Abbottabad,district,,SARI,SARI,5
2023,16,Abbottabad,Abbottabad,district,,ALRI < 5 years,ALRI_u5,1
2023,16,Abbottabad,Abbottabad,district,,B. Diarrhea,Bloody_diarrhoea,0
2023,16,Abbottabad,Abbottabad,district,,Typhoid,Typhoid,8
2023,16,Abbottabad,Abbottabad,district,,Dog Bite,Dog_bite,1
2023,16,Abbottabad,Abbottabad,district,,AWD (S. Cholera),AWD_cholera,0
2023,16,Abbottabad,Abbottabad,district,,AVH (A & E),AVH,0
2023,16,Bannu,Bannu,district,,AD (NonCholera),AD_noncholera,217
2023,16,Bannu,Bannu,district,,Malaria,Malaria,278
2023,16,Bannu,Bannu,district,,ILI,ILI,80
2023,16,Bannu,Bannu,district,,SARI,SARI,8
2023,16,Bannu,Bannu,district,,ALRI < 5 years,ALRI_u5,1
2023,16,Bannu,Bannu,district,,B. Diarrhea,Bloody_diarrhoea,4
2023,16,Bannu,Bannu,district,,Typhoid,Typhoid,9
2023,16,Bannu,Bannu,district,,Dog Bite,Dog_bite,0
2023,16,Bannu,Bannu,district,,AWD (S. Cholera),AWD_cholera,0
2023,16,Bannu,Bannu,district,,AVH (A & E),AVH,0
2023,16,Battagram,Battagram,district,,AD (NonCholera),AD_noncholera,134
2023,16,Battagram,Battagram,district,,Malaria,Malaria,36
2023,16,Battagram,Battagram,district,,ILI,ILI,271
2023,16,Battagram,Battagram,district,,SARI,SARI,0
2023,16,Battagram,Battagram,district,,ALRI < 5 years,ALRI_u5,5
2023,16,Battagram,Battagram,district,,B. Diarrhea,Bloody_diarrhoea,0
2023,16,Battagram,Battagram,district,,Typhoid,Typhoid,0
2023,16,Battagram,Battagram,district,,Dog Bite,Dog_bite,1
2023,16,Battagram,Battagram,district,,AWD (S. Cholera),AWD_cholera,0
2023,16,Battagram,Battagram,district,,AVH (A & E),AVH,0
2023,16,Buner,Buner,district,,AD (NonCholera),AD_noncholera,94
2023,16,Buner,Buner,district,,Malaria,Malaria,229
2023,16,Buner,Buner,district,,ILI,ILI,24
2023,16,Buner,Buner,district,,SARI,SARI,0
2023,16,Buner,Buner,district,,ALRI < 5 years,ALRI_u5,5
2023,16,Buner,Buner,district,,B. Diarrhea,Bloody_diarrhoea,2
2023,16,Buner,Buner,district,,Typhoid,Typhoid,11
2023,16,Buner,Buner,district,,Dog Bite,Dog_bite,0
2023,16,Buner,Buner,district,,AWD (S. Cholera),AWD_cholera,0
2023,16,Buner,Buner,district,,AVH (A & E),AVH,0
2023,16,Charsadda,Charsadda,district,,AD (NonCholera),AD_noncholera,953
2023,16,Charsadda,Charsadda,district,,Malaria,Malaria,13
2023,16,Charsadda,Charsadda,district,,ILI,ILI,266
2023,16,Charsadda,Charsadda,district,,SARI,SARI,33
2023,16,Charsadda,Charsadda,district,,ALRI < 5 years,ALRI_u5,2
2023,16,Charsadda,Charsadda,district,,B. Diarrhea,Bloody_diarrhoea,0
2023,16,Charsadda,Charsadda,district,,Typhoid,Typhoid,0
2023,16,Charsadda,Charsadda,district,,Dog Bite,Dog_bite,0
2023,16,Charsadda,Charsadda,district,,AWD (S. Cholera),AWD_cholera,0
2023,16,Charsadda,Charsadda,district,,AVH (A & E),AVH,0
2023,16,Chitral Lower,Chitral Lower,district,,AD (NonCholera),AD_noncholera,155
2023,16,Chitral Lower,Chitral Lower,district,,Malaria,Malaria,0
2023,16,Chitral Lower,Chitral Lower,district,,ILI,ILI,52
2023,16,Chitral Lower,Chitral Lower,district,,SARI,SARI,242
2023,16,Chitral Lower,Chitral Lower,district,,ALRI < 5 years,ALRI_u5,0
2023,16,Chitral Lower,Chitral Lower,district,,B. Diarrhea,Bloody_diarrhoea,0
2023,16,Chitral Lower,Chitral Lower,district,,Typhoid,Typhoid,5
2023,16,Chitral Lower,Chitral Lower,district,,Dog Bite,Dog_bite,0
2023,16,Chitral Lower,Chitral Lower,district,,AWD (S. Cholera),AWD_cholera,0
2023,16,Chitral Lower,Chitral Lower,district,,AVH (A & E),AVH,0
2023,16,D.I. Khan,D.I. Khan,district,,AD (NonCholera),AD_noncholera,326
2023,16,D.I. Khan,D.I. Khan,district,,Malaria,Malaria,150
2023,16,D.I. Khan,D.I. Khan,district,,ILI,ILI,0
2023,16,D.I. Khan,D.I. Khan,district,,SARI,SARI,0
2023,16,D.I. Khan,D.I. Khan,district,,ALRI < 5 years,ALRI_u5,0
2023,16,D.I. Khan,D.I. Khan,district,,B. Diarrhea,Bloody_diarrhoea,0
2023,16,D.I. Khan,D.I. Khan,district,,Typhoid,Typhoid,0
2023,16,D.I. Khan,D.I. Khan,district,,Dog Bite,Dog_bite,0
2023,16,D.I. Khan,D.I. Khan,district,,AWD (S. Cholera),AWD_cholera,0
2023,16,D.I. Khan,D.I. Khan,district,,AVH (A & E),AVH,0
2023,16,Dir Lower,Dir Lower,district,,AD (NonCholera),AD_noncholera,741
2023,16,Dir Lower,Dir Lower,district,,Malaria,Malaria,287
2023,16,Dir Lower,Dir Lower,district,,ILI,ILI,153
2023,16,Dir Lower,Dir Lower,district,,SARI,SARI,90
2023,16,Dir Lower,Dir Lower,district,,ALRI < 5 years,ALRI_u5,205
2023,16,Dir Lower,Dir Lower,district,,B. Diarrhea,Bloody_diarrhoea,97
2023,16,Dir Lower,Dir Lower,district,,Typhoid,Typhoid,28
2023,16,Dir Lower,Dir Lower,district,,Dog Bite,Dog_bite,15
2023,16,Dir Lower,Dir Lower,district,,AWD (S. Cholera),AWD_cholera,0
2023,16,Dir Lower,Dir Lower,district,,AVH (A & E),AVH,64
2023,16,Dir Upper,Dir Upper,district,,AD (NonCholera),AD_noncholera,150
2023,16,Dir Upper,Dir Upper,district,,Malaria,Malaria,1
2023,16,Dir Upper,Dir Upper,district,,ILI,ILI,33
2023,16,Dir Upper,Dir Upper,district,,SARI,SARI,7
2023,16,Dir Upper,Dir Upper,district,,ALRI < 5 years,ALRI_u5,21
2023,16,Dir Upper,Dir Upper,district,,B. Diarrhea,Bloody_diarrhoea,16
2023,16,Dir Upper,Dir Upper,district,,Typhoid,Typhoid,12
2023,16,Dir Upper,Dir Upper,district,,Dog Bite,Dog_bite,0
2023,16,Dir Upper,Dir Upper,district,,AWD (S. Cholera),AWD_cholera,0
2023,16,Dir Upper,Dir Upper,district,,AVH (A & E),AVH,8
2023,16,Hangu,Hangu,district,,AD (NonCholera),AD_noncholera,13
2023,16,Hangu,Hangu,district,,Malaria,Malaria,4
2023,16,Hangu,Hangu,district,,ILI,ILI,0
2023,16,Hangu,Hangu,district,,SARI,SARI,0
2023,16,Hangu,Hangu,district,,ALRI < 5 years,ALRI_u5,0
2023,16,Hangu,Hangu,district,,B. Diarrhea,Bloody_diarrhoea,3
2023,16,Hangu,Hangu,district,,Typhoid,Typhoid,0
2023,16,Hangu,Hangu,district,,Dog Bite,Dog_bite,1
2023,16,Hangu,Hangu,district,,AWD (S. Cholera),AWD_cholera,1
2023,16,Hangu,Hangu,district,,AVH (A & E),AVH,0
2023,16,Haripur,Haripur,district,,AD (NonCholera),AD_noncholera,452
2023,16,Haripur,Haripur,district,,Malaria,Malaria,2
2023,16,Haripur,Haripur,district,,ILI,ILI,123
2023,16,Haripur,Haripur,district,,SARI,SARI,1
2023,16,Haripur,Haripur,district,,ALRI < 5 years,ALRI_u5,84
2023,16,Haripur,Haripur,district,,B. Diarrhea,Bloody_diarrhoea,0
2023,16,Haripur,Haripur,district,,Typhoid,Typhoid,1
2023,16,Haripur,Haripur,district,,Dog Bite,Dog_bite,0
2023,16,Haripur,Haripur,district,,AWD (S. Cholera),AWD_cholera,0
2023,16,Haripur,Haripur,district,,AVH (A & E),AVH,0
2023,16,Karak,Karak,district,,AD (NonCholera),AD_noncholera,100
2023,16,Karak,Karak,district,,Malaria,Malaria,14
2023,16,Karak,Karak,district,,ILI,ILI,68
2023,16,Karak,Karak,district,,SARI,SARI,2
2023,16,Karak,Karak,district,,ALRI < 5 years,ALRI_u5,12
2023,16,Karak,Karak,district,,B. Diarrhea,Bloody_diarrhoea,0
2023,16,Karak,Karak,district,,Typhoid,Typhoid,0
2023,16,Karak,Karak,district,,Dog Bite,Dog_bite,1
2023,16,Karak,Karak,district,,AWD (S. Cholera),AWD_cholera,0
2023,16,Karak,Karak,district,,AVH (A & E),AVH,0
2023,16,Khyber,Khyber,district,,AD (NonCholera),AD_noncholera,5
2023,16,Khyber,Khyber,district,,Malaria,Malaria,0
2023,16,Khyber,Khyber,district,,ILI,ILI,0
2023,16,Khyber,Khyber,district,,SARI,SARI,2
2023,16,Khyber,Khyber,district,,ALRI < 5 years,ALRI_u5,0
