year,epi_week,AD_noncholera,Malaria,ILI,SARI,ALRI_u5,Bloody_diarrhoea,Typhoid,Dog_bite,AWD_cholera,AVH,Cut_leishmaniasis,VH_BCD,Chickenpox,Measles,TB,Dengue
2023,16,1354,12,70,0,7,13,28,6,1,7,,,,,,
2023,22,3572,65,258,0,182,47,99,30,0,9,,,,,,
2023,23,3493,71,358,0,128,26,170,33,0,9,,,,,,
2023,24,3912,75,255,0,121,89,182,5,0,35,,,,,,
2023,25,4060,49,62,86,62,35,185,7,0,19,,,,,,
2023,26,1533,14,104,0,48,51,38,10,0,3,,,,,,
2023,27,4349,63,344,0,5,317,82,18,0,12,,,,,,
2023,28,5657,83,397,0,126,109,174,18,0,7,,,,,,
2023,29,5291,50,333,0,43,73,198,13,0,10,,,,,,
2023,30,4275,81,266,0,81,92,127,3,0,7,,,,,,
2023,31,5914,76,196,0,70,101,123,7,0,12,,,,,,
2023,32,221,0,12,0,0,0,1,,,0,0,0,,,,
2023,33,5257,82,222,0,87,64,75,,,16,0,8,,,,
2023,34,7675,132,380,0,62,185,259,,0,12,0,,,,,
2023,35,4520,49,176,0,108,111,5,,,14,0,,2,,,
2023,36,4448,76,212,0,117,137,2,,,75,,,6,2,,
2023,37,4056,68,206,0,20,107,4,,,17,1,2,,,,
2023,38,3237,64,245,0,26,33,11,12,,18,0,,,,,
2023,39,2456,67,309,0,34,48,11,59,,17,0,,,,,
2023,40,2276,44,280,0,18,51,8,24,,13,0,,,,,
2023,41,1181,49,493,63,128,18,20,,,20,0,3,,,,
2023,42,1890,68,236,0,54,22,3,,,12,0,,,9,,
2023,43,2194,67,399,0,61,26,0,,,19,0,,,14,,
2023,44,2120,53,162,0,45,23,0,,,24,0,,,34,,
2023,45,1727,17,249,0,86,14,3,,,23,0,,,7,,
2023,46,1998,21,144,0,80,20,0,,,23,0,,,1,,
2023,47,1970,39,333,0,51,16,0,,,,0,0,,1,,
2023,48,1554,14,71,0,89,11,0,35,,,0,,,11,,
2023,49,1713,10,190,0,60,5,1,14,,,0,,,9,,
2023,50,1339,13,333,88,83,6,9,,,,0,,,13,41,
2023,51,1416,10,229,0,54,11,1,,,,0,,,6,16,
2023,52,1144,16,236,0,77,27,0,,,,13,,,0,,
2024,1,1256,14,207,0,60,30,0,,,,0,,,14,,
2024,2,1135,11,383,0,95,50,0,,,,0,,,21,24,
2024,3,1265,10,200,0,44,18,0,,,,0,,,10,3,
2024,4,1218,14,207,0,104,13,1,,,,0,,,5,7,
2024,5,944,3,207,2,45,9,4,,,,0,,,5,4,
