year,epi_week,swat_acute_diarrhoea_noncholera
2023,40,2276
2024,8,1063
2024,25,2820
2024,45,1315
2025,10,1326
2025,20,4197
2025,40,2647
2026,26,4650
2023,16,1354
2023,22,3572
2023,23,3493
2023,24,3912
2023,25,4060
2023,26,1533
2023,27,4349
2023,28,5657
2023,29,5291
2023,30,4275
2023,31,5914
2023,32,221
2023,33,5257
2023,34,7675
2023,35,4520
2023,36,4448
2023,37,4056
2023,38,3237
2023,39,2456
2023,41,1181
2023,42,1890
2023,43,2194
2023,44,2120
2023,45,1727
2023,46,1998
2023,47,1970
2023,48,1554
2023,49,1713
2023,50,1339
2023,51,1416
2023,52,1144
2024,1,1256
2024,2,1135
2024,3,1265
2024,4,1218
2024,5,944
2024,6,748
2024,7,1320
2024,9,888
2024,10,1431
2024,11,1320
2024,12,1127
2024,13,1481
2024,14,1348
2024,15,697
2024,16,1459
2024,17,1725
2024,18,1811
2025,31,6203
2025,32,5118
2025,33,4564
2025,34,4551
2025,35,4384
2025,36,3663
2025,37,3898
2025,38,3523
2025,39,3271
2025,41,2399
2025,42,2160
2025,43,2242
2025,18,3149
2025,19,3829
2025,21,4626
2025,22,3705
2025,23,2416
2025,24,4587
2025,25,4183
2025,26,4232
2025,27,4619
2025,28,6626
2025,29,6024
2025,30,5770
2026,4,1300
2026,5,1383
2026,6,1806
2026,7,1760
2026,8,1877
2026,9,2040
2026,10,1843
2026,11,1791
2026,12,1369
2026,13,2082
2026,14,1850
2026,15,2351
2026,16,2303
2026,17,3188
2026,18,2861
2026,19,3886
2026,20,3815
2026,21,3779
2026,22,2370
2026,23,4582
2026,24,4932
2026,25,4526
2026,27,5673
2026,28,5454
2024,19,2153
2024,20,2530
2024,21,2495
2024,22,2918
2024,23,2923
2024,24,2655
2024,26,4512
2024,27,2830
2024,28,3900
2024,29,3723
2024,30,4290
2024,31,4443
2025,44,1993
2025,45,1891
2025,46,1912
2025,47,1635
2025,48,1650
2025,49,1562
2025,50,1240
2025,51,1455
2025,52,1314
2026,1,1292
2026,2,1570
2026,3,1462
2024,32,4263
2024,33,2317
2024,34,4151
2024,35,3696
2024,36,2523
2024,37,2127
2024,38,1713
2024,39,1699
2024,40,1253
2024,41,1156
2024,42,1336
2024,43,1497
2024,44,1055
2024,46,1314
2024,47,1215
2024,48,1099
2024,49,1261
2024,50,1149
2024,51,793
2024,52,1064
2025,1,999
2025,2,1015
2025,3,968
2025,4,1066
2025,5,1056
2025,6,1020
2025,7,1222
2025,8,1456
2025,9,1456
2025,11,1610
2025,12,1520
2025,13,1312
2025,14,1449
2025,15,2319
2025,16,2616
2025,17,2842
