year,epi_week,position,condition,as_printed
2023,16,1,AD_noncholera,AD (NonCholera)
2023,16,2,Malaria,Malaria
2023,16,3,ILI,ILI
2023,16,4,SARI,SARI
2023,16,5,ALRI_u5,ALRI < 5 years
2023,16,6,Bloody_diarrhoea,B. Diarrhea
2023,16,7,Typhoid,Typhoid
2023,16,8,Dog_bite,Dog Bite
2023,16,9,AWD_cholera,AWD (S. Cholera)
2023,16,10,AVH,AVH (A & E)
2023,22,1,AD_noncholera,AD (NonCholera)
2023,22,2,Malaria,Malaria
2023,22,3,ILI,ILI
2023,22,4,SARI,SARI
2023,22,5,ALRI_u5,ALRI < 5 years
2023,22,6,Bloody_diarrhoea,B. Diarrhea
2023,22,7,Typhoid,Typhoid
2023,22,8,Dog_bite,Dog Bite
2023,22,9,AWD_cholera,AWD (S. Cholera)
2023,22,10,AVH,AVH (A & E)
2023,23,1,AD_noncholera,AD (NonCholera)
2023,23,2,Malaria,Malaria
2023,23,3,ILI,ILI
2023,23,4,SARI,SARI
2023,23,5,ALRI_u5,ALRI < 5 years
2023,23,6,Bloody_diarrhoea,B. Diarrhea
2023,23,7,Typhoid,Typhoid
2023,23,8,Dog_bite,Dog Bite
2023,23,9,AWD_cholera,AWD (S. Cholera)
2023,23,10,AVH,AVH (A & E)
2023,24,1,AD_noncholera,AD (NonCholera)
2023,24,2,Malaria,Malaria
2023,24,3,ILI,ILI
2023,24,4,SARI,SARI
2023,24,5,ALRI_u5,ALRI < 5 years
2023,24,6,Bloody_diarrhoea,B. Diarrhea
2023,24,7,Typhoid,Typhoid
2023,24,8,Dog_bite,Dog Bite
2023,24,9,AWD_cholera,AWD (S. Cholera)
2023,24,10,AVH,AVH (A & E)
2023,25,1,AD_noncholera,AD (NonCholera)
2023,25,2,Malaria,Malaria
2023,25,3,ILI,ILI
2023,25,4,SARI,SARI
2023,25,5,ALRI_u5,ALRI < 5 years
2023,25,6,Bloody_diarrhoea,B. Diarrhea
2023,25,7,Typhoid,Typhoid
2023,25,8,Dog_bite,Dog Bite
2023,25,9,AWD_cholera,AWD (S. Cholera)
2023,25,10,AVH,AVH (A & E)
2023,26,1,AD_noncholera,AD (NonCholera)
2023,26,2,Malaria,Malaria
2023,26,3,ILI,ILI
2023,26,4,SARI,SARI
2023,26,5,ALRI_u5,ALRI < 5 years
2023,26,6,Bloody_diarrhoea,B. Diarrhea
2023,26,7,Typhoid,Typhoid
2023,26,8,Dog_bite,Dog Bite
2023,26,9,AWD_cholera,AWD (S. Cholera)
2023,26,10,AVH,AVH (A & E)
2023,27,1,AD_noncholera,AD (NonCholera)
2023,27,2,Malaria,Malaria
2023,27,3,ILI,ILI
2023,27,4,SARI,SARI
2023,27,5,ALRI_u5,ALRI < 5 years
2023,27,6,Bloody_diarrhoea,B. Diarrhea
2023,27,7,Typhoid,Typhoid
2023,27,8,Dog_bite,Dog Bite
2023,27,9,AWD_cholera,AWD (S. Cholera)
2023,27,10,AVH,AVH (A & E)
2023,28,1,AD_noncholera,AD (NonCholera)
2023,28,2,Malaria,Malaria
2023,28,3,ILI,ILI
2023,28,4,SARI,SARI
2023,28,5,ALRI_u5,ALRI < 5 years
2023,28,6,Bloody_diarrhoea,B. Diarrhea
2023,28,7,Typhoid,Typhoid
2023,28,8,Dog_bite,Dog Bite
2023,28,9,AWD_cholera,AWD (S. Cholera)
2023,28,10,AVH,AVH (A & E)
2023,29,1,AD_noncholera,AD (NonCholera)
2023,29,2,Malaria,Malaria
2023,29,3,ILI,ILI
2023,29,4,SARI,SARI
2023,29,5,ALRI_u5,ALRI < 5 years
2023,29,6,Bloody_diarrhoea,B. Diarrhea
2023,29,7,Typhoid,Typhoid
2023,29,8,Dog_bite,Dog Bite
2023,29,9,AWD_cholera,AWD (S. Cholera)
2023,29,10,AVH,AVH (A & E)
2023,30,1,AD_noncholera,AD (NonCholera)
2023,30,2,Malaria,Malaria
2023,30,3,ILI,ILI
2023,30,4,SARI,SARI
2023,30,5,ALRI_u5,ALRI < 5 years
2023,30,6,Bloody_diarrhoea,B. Diarrhea
2023,30,7,Typhoid,Typhoid
2023,30,8,Dog_bite,Dog Bite
2023,30,9,AWD_cholera,AWD (S. Cholera)
2023,30,10,AVH,AVH (A & E)
2023,31,1,AD_noncholera,AD (NonCholera)
2023,31,2,Malaria,Malaria
2023,31,3,ILI,ILI
2023,31,4,SARI,SARI
2023,31,5,ALRI_u5,ALRI < 5 years
2023,31,6,Bloody_diarrhoea,B. Diarrhea
2023,31,7,Typhoid,Typhoid
