### 2023 40
Districts|AD (NonCholera)|Malaria|ILI|SARI|ALRI <5 Years|B. Diarrhea|Typhoid|CL|AVH (A & E)|Dog Bite
Abbottabad|418|3|11|21|14|1|11|0|0|2
Bajaur|195|34|20|10|30|16|0|1|0|0
Bannu|736|1085|58|0|11|7|33|6|7|0
Battagram|159|340|455|0|0|0|0|0|5|4
Buner|216|310|0|0|51|0|5|0|0|1
Charsadda|796|204|171|464|44|30|41|6|15|0
Chitral Lower|312|90|79|50|69|21|6|2|9|3
Chitral Upper|103|0|7|3|13|3|20|1|1|0
D.I. Khan|843|377|8|31|19|21|0|1|0|1
Dir Lower|1147|619|1|0|156|134|23|21|42|13
Dir Upper|429|16|17|0|19|4|18|10|8|0
Hangu|267|422|145|49|33|15|19|36|4|10
Haripur|1113|56|759|0|198|7|38|0|46|0
Karak|276|253|34|0|3|0|1|39|0|32
Khyber|19|2|0|0|0|4|4|0|0|0
Kohat|69|39|2|0|2|0|0|3|0|2
Kohistan Lower|99|14|0|1|7|16|0|0|0|0
Kohistan Upper|318|7|93|52|4|5|11|0|0|0
Kolai Palas|61|11|0|4|0|4|0|0|0|0
L & C Kurram|22|8|184|0|0|16|1|0|0|0
Lakki Marwat|434|307|0|0|59|14|6|18|0|1
Malakand|507|56|0|5|30|62|25|5|23|0
Mansehra|435|3|324|52|13|1|2|0|3|0
Mardan|694|51|69|0|121|19|0|1|6|0
Mohmand|108|107|37|9|9|24|13|76|0|1
Nowshera|1742|114|7|21|2|17|13|45|3|1
Peshawar|2758|96|561|87|103|246|120|27|40|6
Shangla|179|0|0|0|0|0|13|0|2|7
SWA|136|192|86|259|159|114|44|47|40|22
Swabi|836|42|463|53|117|9|23|0|12|1
Swat|2276|44|280|0|18|51|8|0|13|24
Tank|493|475|0|0|12|0|129|7|0|0
Tor Ghar|59|179|0|0|1|15|21|8|0|22
Upper Kurram|277|24|406|453|34|196|212|0|10|12
Total|18532|5580|4277|1624|1351|1072|860|360|289|165

### 2024 8
Districts|AD (NonCholera)|ILI|Malaria|ALRI <5 Years|SARI|B. Diarrhea|Measles|Typhoid|TB|CL
Abbottabad|326|100|0|26|20|2|6|6|20|0
Bajaur|143|36|37|6|18|14|7|19|0|0
Bannu|653|6|1067|26|9|10|21|96|25|0
Battagram|86|188|12|0|0|0|0|0|0|3
Buner|245|0|117|71|0|0|0|1|2|0
Charsadda|656|930|311|302|48|31|17|18|1|0
Chitral Lower|116|63|4|65|33|8|0|8|12|12
Chitral Upper|65|8|1|20|8|0|0|8|1|0
D.I. Khan|747|0|98|41|43|20|81|0|41|2
Dir Lower|735|2|369|254|0|61|29|29|21|10
Dir Upper|179|145|2|2|0|0|9|26|11|5
Hangu|134|317|321|18|13|5|5|4|7|31
Haripur|729|92|4|88|23|9|4|30|23|0
Karak|186|84|56|30|0|0|87|7|9|41
Khyber|47|139|11|27|3|9|3|0|8|7
Kohat|42|53|9|0|7|0|0|1|0|2
Kohistan Lower|45|0|0|3|0|3|0|0|0|0
Kohistan Upper|185|18|0|6|0|4|14|1|0|0
Kolai Palas|54|0|0|0|20|0|0|0|0|0
L & C Kurram|3|70|11|0|0|1|0|1|0|0
Lakki Marwat|228|29|87|58|2|17|12|10|20|4
Malakand|241|175|9|73|38|64|26|7|4|13
Mansehra|334|412|0|46|48|6|3|42|11|0
Mardan|493|47|7|623|4|17|0|0|3|0
Mohmand|63|44|75|5|11|12|5|5|0|79
Nowshera|717|78|10|1|12|13|19|4|4|10
Orakzai|2|20|3|0|7|0|0|0|0|0
Peshawar|1728|814|10|210|119|88|57|62|32|23
SD DI Khan|0|0|0|0|0|0|0|0|0|0
SD Peshawar|0|0|0|0|0|0|0|0|0|0
SD Tank|1|0|1|0|0|1|0|0|0|0
Shangla|260|0|95|11|0|1|1|8|32|0
SWA|27|199|12|40|53|1|4|7|1|17
Swabi|740|1065|24|178|91|12|18|14|50|1
Swat|1063|261|14|32|11|16|5|0|13|0
Tank|233|99|76|13|0|2|10|23|3|7
Tor Ghar|40|0|14|3|17|11|0|4|1|4
Upper Kurram|163|455|0|13|321|26|11|3|7|0
Total|11709|5949|2867|2291|979|464|454|444|362|271

### 2024 25
Districts|AD (NonCholera)|Malaria|ILI|B.Diarrhea|ALRI <5 Years|SARI|Dog Bite|Typhoid|TB|Measles
Abbottabad|647|17|35|5|13|1|4|18|20|4
Bajaur|611|197|34|94|210|35|25|8|22|19
Bannu|626|1039|1|31|20|5|2|50|7|7
Battagram|48|0|29|0|0|0|0|0|0|0
Buner|534|254|0|0|0|0|15|19|1|0
Charsadda|706|119|181|59|41|1|7|34|0|28
Chitral Lower|444|15|24|20|9|17|17|8|7|2
Chitral Upper|129|3|4|9|4|5|0|11|1|0
D.I. Khan|831|195|0|24|9|4|4|11|28|20
Dir Lower|1204|116|0|87|97|0|12|45|5|11
Dir Upper|725|23|49|8|1|0|0|13|15|5
Hangu|2|13|0|0|0|0|0|0|0|0
Haripur|962|22|114|8|51|15|5|26|19|9
Karak|254|109|26|0|14|0|7|2|7|5
Khyber|196|132|2|45|17|10|23|15|4|1
Kohistan Lower|112|1|5|2|3|0|0|0|0|1
Kohistan Upper|262|18|11|31|30|0|0|5|0|0
Kolai Palas|50|5|0|7|1|0|0|2|0|0
L & C Kurram|26|13|28|14|4|20|0|1|0|1
Lakki Marwat|437|139|7|9|1|0|37|8|3|2
Malakand|1446|37|41|186|21|11|0|18|4|12
Mansehra|783|0|131|5|12|27|0|19|4|0
Mardan|729|23|0|16|210|0|1|0|4|0
Mohmand|101|124|24|48|7|28|3|3|0|1
NWA|27|5|0|0|0|0|0|3|0|9
Nowshera|1086|53|0|34|45|15|6|16|4|12
Orakzai|121|8|0|24|0|0|2|0|1|0
Peshawar|1937|28|428|104|27|42|46|25|20|32
SD Peshawar|0|0|0|0|0|0|0|0|0|0
SD Tank|17|21|0|3|0|0|0|0|0|0
Shangla|887|401|0|3|8|0|52|13|46|4
SWA|103|184|397|23|76|99|25|60|2|0
Swabi|1617|59|392|26|144|77|199|20|29|29
Swat|2820|41|101|129|40|81|114|23|15|3
Tank|250|380|61|3|19|0|0|50|5|10
Tor Ghar|118|83|0|25|0|8|0|3|0|0
Upper Kurram|201|25|214|71|0|325|9|7|2|2
Total|21049|3902|2339|1153|1134|826|615|536|275|229

### 2024 45
Districts|AD (NonCholera)|Malaria|ILI|B.Diarrhea|SARI|ALRI <5 Years|Typhoid|Dog Bite|TB|AVH (A&E)
Abbottabad|287|36|106|3|46|3|44|4|13|0
Bajaur|869|250|61|58|34|73|6|21|13|82
Bannu|659|1550|10|9|18|46|89|8|18|3
Battagram|58|48|330|NR|NR|NR|0|14|NR|NR
Buner|209|175|0|0|0|0|5|6|1|0
Charsadda|805|247|624|0|82|23|75|2|6|9
Chitral Lower|185|10|104|19|15|10|7|7|3|2
Chitral Upper|98|1|14|8|16|2|8|3|2|2
D.I. Khan|935|670|0|0|14|15|0|14|40|0
Dir Lower|1072|250|0|0|81|60|43|32|10|26
Dir Upper|829|10|88|0|5|2|4|0|12|3
Hangu|46|152|0|0|0|2|0|0|4|0
Haripur|544|8|142|3|27|1|5|0|12|16
Karak|233|227|130|154|15|15|5|8|6|0
Khyber|367|248|69|39|25|113|57|21|8|7
Kohat|338|222|108|95|14|18|3|7|0|1
Kohistan Lower|106|5|0|27|5|13|4|0|0|0
Kohistan Upper|351|14|8|0|9|13|10|0|18|0
Kolai Palas|61|3|10|11|3|1|1|0|0|0
L & C Kurram|32|19|38|0|0|18|4|1|0|0
Lakki Marwat|536|435|2|0|24|20|9|56|4|0
Malakand|554|47|43|21|31|69|30|0|2|40
Mansehra|347|5|201|85|6|3|14|4|1|0
Mardan|304|22|0|0|41|1|0|3|6|0
Mohmand|139|340|162|173|2|17|5|7|1|2
North Waziristan|43|15|0|14|8|27|4|0|0|0
Nowshera|1013|137|47|14|2|25|5|7|5|13
Orakzai|157|28|16|0|2|12|10|8|0|0
Peshawar|2045|101|983|133|93|125|59|2|13|7
SD Tank|10|12|3|0|0|0|0|0|0|0
Shangla|833|564|0|20|27|9|39|49|90|4
SWA|52|69|173|79|31|20|14|6|2|0
Swabi|860|90|780|51|125|9|7|100|23|31
Swat|1315|56|201|0|124|15|50|62|7|53
Tank|346|589|197|0|13|6|30|4|34|0
Tor Ghar|39|56|0|7|2|7|0|1|0|8
Upper Kurram|133|20|237|173|23|29|9|9|2|0
Total|16810|6731|4887|1196|963|822|655|466|356|309

### 2025 10
Districts|AD (NonCholera)|ILI|Malaria|ALRI < 5 years|SARI|B. Diarrhea|Dog Bite|Typhoid|CL|Measles
Abbottabad|492|115|0|16|3|60|73|28|0|2
Bajaur|390|88|132|26|85|67|79|7|25|22
Bannu|613|2|1276|19|7|24|2|74|0|42
Battagram|138|509|6|4|3|6|2|3|9|0
Buner|187|0|220|2|0|0|13|0|0|1
Charsadda|1403|1730|307|407|284|77|7|52|0|55
Chitral Lower|288|106|6|18|24|28|10|4|0|4
Chitral Upper|55|6|2|16|5|5|2|7|0|0
D.I. Khan|1255|0|88|53|0|14|19|3|2|102
Dir Lower|857|1|94|16|0|59|61|24|0|11
Dir Upper|524|100|2|17|0|1|10|0|0|3
Hangu|155|267|112|16|17|20|6|6|38|0
Haripur|564|301|0|92|30|0|18|5|0|3
Karak|344|65|46|90|54|15|53|4|156|0
Khyber|698|38|85|93|35|173|48|95|102|15
Kohat|488|15|33|6|0|28|15|9|15|3
Kohistan Lower|84|0|0|2|5|8|0|2|0|0
Kohistan Upper|201|14|3|4|2|29|2|3|1|5
Kolai Palas|74|10|0|4|1|2|0|3|0|0
L & C Kurram|4|9|0|0|0|5|0|2|0|0
Lakki Marwat|611|11|122|5|0|30|33|9|0|9
Mansehra|627|320|0|0|0|4|0|4|0|0
Mardan|112|0|3|30|0|0|45|6|0|12
Mohmand|119|189|87|6|144|21|20|2|73|7
North Waziristan|31|4|29|7|5|39|1|1|2|17
Nowshera|1236|55|37|98|13|5|15|18|2|5
Orakzai|76|13|2|1|0|3|0|0|0|0
Peshawar|2442|425|18|86|32|50|9|25|1|61
SD Tank|16|1|10|0|0|4|0|0|0|0
Shangla|256|0|129|7|0|1|20|11|0|2
South Waziristan (Lower)|9|15|3|2|1|2|0|2|0|0
SWU|18|30|23|2|8|1|0|0|0|1
Swabi|733|649|24|62|41|5|129|23|0|16
Swat|1326|121|2|89|0|26|5|8|0|6
Tank|647|133|61|32|0|5|4|1|0|3
Tor Ghar|31|0|12|5|33|19|15|2|10|0
Upper Kurram|127|288|11|13|156|43|7|10|0|0
Total|17234|5630|2985|1346|985|876|727|452|430|416

### 2025 20
Districts|AD (noncholera)|ILI|Malaria|B. Diarrhea|ALRI < 5 years|Dog Bite|SARI|Typhoid|CL|Measles
Abbottabad|1585|192|0|20|8|47|5|27|0|2
Bajaur|779|68|252|92|12|51|76|10|26|30
Bannu|428|3|777|45|11|1|0|38|0|4
Battagram|338|612|34|6|8|10|NR|NR|4|NR
Buner|383|0|303|1|0|11|0|5|0|0
Charsadda|3575|1272|381|302|375|11|7|139|3|67
Chitral Lower|896|153|11|24|14|20|15|4|12|1
Chitral Upper|235|17|2|4|8|0|20|14|0|0
D.I. Khan|2104|0|224|26|25|44|0|0|3|78
Dir Lower|2218|0|168|101|7|103|0|26|0|15
Dir Upper|1090|75|28|2|8|9|0|4|12|4
Hangu|156|72|51|12|0|0|0|2|0|0
Haripur|1872|200|7|0|36|15|8|13|0|5
Karak|875|73|184|75|54|43|21|4|274|25
Khyber|744|70|160|125|481|39|7|20|79|9
Kohat|1197|4|87|74|4|28|0|31|18|0
Kohistan Lower|102|0|1|5|0|0|0|0|1|0
Kohistan Upper|533|0|4|35|4|4|0|0|0|3
Kolai Palas|118|0|0|7|0|0|0|2|0|0
L & C Kurram|6|3|0|15|0|0|0|2|0|0
Lakki Marwat|1023|0|230|16|2|60|0|26|0|10
Malakand|1863|49|26|0|0|0|64|78|0|9
Mansehra|1351|495|2|6|0|0|19|11|0|0
Mardan|1151|80|98|38|136|81|0|9|4|14
Mohmand|228|128|170|41|6|3|116|8|59|9
North Waziristan|131|5|222|27|2|1|6|5|5|12
Nowshera|3321|4|107|18|9|70|22|41|5|10
Orakzai|164|17|24|13|0|2|0|0|0|0
Peshawar|5574|466|35|194|86|7|31|142|0|72
SD Tank|20|0|16|7|0|1|0|0|2|1
Shangla|850|0|264|7|2|26|256|7|0|5
South Waziristan (Lower)|53|172|84|0|8|6|46|9|11|3
SWU|46|64|36|2|0|0|12|0|0|1
Swabi|2097|419|49|22|42|181|14|70|0|21
Swat|4197|108|27|63|119|84|41|46|0|3
Tank|606|102|97|17|11|4|0|8|0|4
Tor Ghar|103|1|42|34|4|30|13|3|1|3
Upper Kurram|183|203|21|50|5|9|179|13|0|1
Total|42195|5127|4224|1526|1487|1001|978|817|519|421

### 2025 40
Districts|AD (NonCholera)|Malaria|ILI|B. Diarrhea|ALRI < 5 years|Dog Bite|Typhoid|Dengue|SARI|CL
Abbottabad|1035|3|180|10|53|75|11|42|6|0
Bajaur|561|341|87|156|23|70|3|12|61|12
Bannu|982|1437|3|12|7|2|89|5|6|0
Battagram|396|158|826|1|6|7|2|21|2|0
Buner|303|234|0|0|0|9|10|0|0|0
Charsadda|2188|479|1812|91|246|0|40|99|4|0
Chitral Lower|506|34|7|11|25|15|6|2|8|10
Chitral Upper|170|9|42|10|10|2|8|0|11|1
D.I. Khan|2028|1347|0|30|5|16|0|0|0|0
Dir Lower|1628|157|0|64|6|42|29|22|0|0
Dir Upper|1507|15|23|18|44|14|9|0|2|2
Hangu|280|112|173|0|0|8|11|17|0|52
Haripur|1076|10|383|4|22|13|21|40|10|0
Karak|639|273|76|21|36|29|9|2|0|141
Khyber|647|594|32|152|88|42|40|0|5|32
Kohat|787|341|2|16|10|23|15|38|0|4
Kohistan Lower|187|6|0|12|0|1|0|25|0|0
Kohistan Upper|235|48|1|8|36|0|1|0|0|0
Kolai Palas|53|0|0|3|0|0|12|0|0|0
L & C Kurram|17|1|0|5|0|1|3|0|3|0
Lakki Marwat|1002|974|2|6|0|74|14|14|0|0
Malakand|1045|96|138|0|0|0|11|0|0|2
Mansehra|788|24|283|2|0|45|6|45|0|0
Mardan|1276|384|29|66|26|6|17|32|3|6
Mohmand|117|296|42|9|0|11|6|1|90|48
North Waziristan|42|93|10|12|20|0|22|14|0|18
Nowshera|2309|739|11|37|12|16|33|11|9|18
Orakzai|82|50|7|2|0|0|0|0|0|0
Peshawar|4514|65|516|120|64|4|148|108|1|0
Shangla|1099|755|2|12|4|21|73|5|0|0
South Waziristan (Lower)|133|57|149|5|12|20|20|2|43|9
South Waziristan (Upper)|64|85|25|4|0|0|0|0|10|6
Swabi|1352|171|548|19|47|145|55|56|46|0
Swat|2647|143|396|57|102|146|46|94|0|0
Tank|659|413|49|20|5|0|0|0|0|0
Tor Ghar|87|90|0|20|5|13|6|0|32|0
Upper Kurram|146|18|89|34|4|5|12|1|38|0

### 2026 26
Districts|AD (NonCholera)|Malaria|ILI|Animal / Dog Bite|B. Diarrhea|Typhoid|ALRI < 5 years|TB|CL|SARI
Abbottabad|1119|0|28|47|10|16|20|15|0|0
Bajaur|862|268|6|109|53|0|12|13|26|24
Bannu|868|729|16|1|6|93|5|14|10|0
Battagram|390|57|400|2|0|0|0|0|0|0
Buner|332|82|0|15|0|0|0|1|0|0
Charsadda|1563|167|163|12|54|47|8|0|0|0
Chitral Lower|1047|12|13|14|41|8|14|1|4|7
Chitral Upper|160|7|16|3|4|13|5|4|0|6
D.I. Khan|1578|356|0|32|11|4|14|5|1|0
Dir Lower|2260|114|0|86|88|29|6|4|13|0
Dir Upper|1964|19|43|20|42|16|84|2|0|0
Hangu|148|66|0|2|0|1|0|0|6|0
Haripur|1337|0|26|15|0|0|7|0|0|0
Karak|598|152|5|64|37|12|38|5|95|0
Khyber|986|741|31|71|107|42|66|23|92|4
Kohat|627|109|0|31|31|10|0|0|41|0
Kohistan Lower|114|2|0|0|6|3|0|0|0|0
Kohistan Upper|221|14|0|3|7|0|1|0|0|0
Kolai Palas|87|2|2|0|2|0|0|0|0|0
