condition,horizon,mode,MAE_scaled,MAE_unscaled,model_family,improvement
AD_noncholera,1,reporting_aware,190.87962512137477,448.5198677209148,poisson_mask,257.64024259954004
AD_noncholera,1,zero_fill,191.0094028466106,448.6737596230221,poisson_mask,257.66435677641147
AD_noncholera,2,reporting_aware,192.99148605606558,455.6170648546065,poisson_mask,262.6255787985409
AD_noncholera,2,zero_fill,193.14888906675216,455.7554603824309,poisson_mask,262.6065713156787
AD_noncholera,4,reporting_aware,204.3975731423786,479.0424066427715,poisson_mask,274.6448335003929
AD_noncholera,4,zero_fill,204.28951836370388,479.1096198189248,poisson_mask,274.8201014552209
ALRI_u5,1,reporting_aware,20.255693178997067,18.970887843043688,poisson_mask,-1.2848053359533793
ALRI_u5,1,zero_fill,20.21204370381974,18.910467892629693,poisson_mask,-1.3015758111900482
ALRI_u5,2,reporting_aware,19.864271690499343,18.8101758409731,poisson_mask,-1.0540958495262451
ALRI_u5,2,zero_fill,19.829989244967518,18.75485180872288,poisson_mask,-1.0751374362446384
ALRI_u5,4,reporting_aware,19.026630365034265,18.372870695582183,poisson_mask,-0.6537596694520822
ALRI_u5,4,zero_fill,19.01367536431413,18.318997980933005,poisson_mask,-0.6946773833811228
Bloody_diarrhoea,1,reporting_aware,20.90845672709825,21.29318339878164,poisson_mask,0.3847266716833886
Bloody_diarrhoea,1,zero_fill,20.897077120818132,21.27257403355637,poisson_mask,0.3754969127382388
Bloody_diarrhoea,2,reporting_aware,21.52553417723564,22.562769683292736,poisson_mask,1.037235506057094
Bloody_diarrhoea,2,zero_fill,21.522064160189203,22.556546631822847,poisson_mask,1.0344824716336447
Bloody_diarrhoea,4,reporting_aware,22.92174466225518,23.59392422938168,poisson_mask,0.6721795671265021
Bloody_diarrhoea,4,zero_fill,22.923163044650554,23.572274154481683,poisson_mask,0.6491111098311286
Cut_leishmaniasis,1,reporting_aware,6.3804510314686675,10.515535927067669,poisson_mask,4.135084895599001
Cut_leishmaniasis,1,zero_fill,6.160742524798337,10.450771997477508,poisson_mask,4.290029472679171
Cut_leishmaniasis,2,reporting_aware,6.47948719698171,10.510873100863035,poisson_mask,4.031385903881326
Cut_leishmaniasis,2,zero_fill,6.237510189490432,10.42519086474207,poisson_mask,4.187680675251639
Cut_leishmaniasis,4,reporting_aware,6.607958499548086,10.315685404378906,poisson_mask,3.70772690483082
Cut_leishmaniasis,4,zero_fill,6.309903610152233,10.226092977122285,poisson_mask,3.916189366970052
Dog_bite,1,reporting_aware,16.370044815739675,25.37942281234164,poisson_mask,9.009377996601966
Dog_bite,1,zero_fill,16.31269275752875,25.573789494312795,poisson_mask,9.261096736784044
Dog_bite,2,reporting_aware,16.78755157979977,25.183250372507647,poisson_mask,8.395698792707876
Dog_bite,2,zero_fill,16.728215205628114,25.37257563559231,poisson_mask,8.644360429964195
Dog_bite,4,reporting_aware,17.767501505158545,24.34274865123,poisson_mask,6.5752471460714546
Dog_bite,4,zero_fill,17.679585194164982,24.51521312674599,poisson_mask,6.8356279325810085
ILI,1,reporting_aware,61.29918053724929,88.85584893615463,poisson_mask,27.556668398905337
ILI,1,zero_fill,60.97858619060648,88.67148890306947,poisson_mask,27.692902712462995
ILI,2,reporting_aware,60.342412862618865,88.1663098920602,poisson_mask,27.823897029441333
ILI,2,zero_fill,60.061991574970534,87.99670073059113,poisson_mask,27.934709155620595
ILI,4,reporting_aware,56.544323186253,88.25841175221397,poisson_mask,31.71408856596097
ILI,4,zero_fill,56.29811122013758,88.06554762000779,poisson_mask,31.767436399870213
Malaria,1,reporting_aware,50.332701900977185,74.56896921260446,poisson_mask,24.236267311627273
Malaria,1,zero_fill,50.29191856764315,74.5760472194234,poisson_mask,24.28412865178025
Malaria,2,reporting_aware,51.693280693443064,75.61133835811164,poisson_mask,23.918057664668574
Malaria,2,zero_fill,51.65008436550239,75.62111138620055,poisson_mask,23.971027020698166
Malaria,4,reporting_aware,55.60727408143507,78.48868412497282,poisson_mask,22.88141004353775
Malaria,4,zero_fill,55.57117284725081,78.50488830884672,poisson_mask,22.93371546159591
Measles,1,reporting_aware,6.206837977828333,7.765385953140915,poisson_mask,1.5585479753125817
Measles,1,zero_fill,5.903752597048463,9.34174320250512,poisson_mask,3.4379906054566565
Measles,2,reporting_aware,6.155503980860191,7.815687830724016,poisson_mask,1.6601838498638255
Measles,2,zero_fill,5.8901765711838046,9.342285766882345,poisson_mask,3.45210919569854
Measles,4,reporting_aware,6.142663398645391,7.754373842247744,poisson_mask,1.6117104436023526
Measles,4,zero_fill,5.988064636899931,9.167513393763254,poisson_mask,3.179448756863324
SARI,1,reporting_aware,17.797973863380903,16.77454859698703,poisson_mask,-1.0234252663938719
SARI,1,zero_fill,16.868282321747323,16.356756853380013,poisson_mask,-0.51152546836731
SARI,2,reporting_aware,17.35823995875692,16.54703045171783,poisson_mask,-0.8112095070390879
SARI,2,zero_fill,15.976861324944126,16.063615289637546,poisson_mask,0.08675396469342012
SARI,4,reporting_aware,17.68576786919303,16.327651474413592,poisson_mask,-1.3581163947794366
SARI,4,zero_fill,15.348747739274627,15.731377677531828,poisson_mask,0.3826299382572014
TB,1,reporting_aware,8.463597024059537,9.219339964370423,poisson_mask,0.7557429403108866
TB,1,zero_fill,8.038688484272566,8.844721326475321,poisson_mask,0.8060328422027556
TB,2,reporting_aware,8.463597024059537,9.219339964370423,poisson_mask,0.7557429403108866
TB,2,zero_fill,8.035620738750527,8.843837804701957,poisson_mask,0.8082170659514301
TB,4,reporting_aware,8.463597024059537,9.219339964370423,poisson_mask,0.7557429403108866
TB,4,zero_fill,8.031806813255706,8.843446908809927,poisson_mask,0.8116400955542211
Typhoid,1,reporting_aware,8.651870262854638,10.137387868264929,poisson_mask,1.4855176054102905
Typhoid,1,zero_fill,8.648878014868737,10.116090796466338,poisson_mask,1.4672127815976008
Typhoid,2,reporting_aware,8.77015785558301,10.15650501630024,poisson_mask,1.3863471607172304
Typhoid,2,zero_fill,8.779136254933082,10.139047684936376,poisson_mask,1.3599114300032937
Typhoid,4,reporting_aware,8.749839411565672,10.08876977501021,poisson_mask,1.338930363444538
Typhoid,4,zero_fill,8.782478063969615,10.073731161139769,poisson_mask,1.291253097170154
AD_noncholera,1,reporting_aware,190.87962512137477,448.5198677209148,negbin_mask,257.64024259954004
AD_noncholera,1,zero_fill,191.0094028466106,947.6600403373294,negbin_mask,756.6506374907187
AD_noncholera,2,reporting_aware,192.99148605606558,455.6170648546065,negbin_mask,262.6255787985409
AD_noncholera,2,zero_fill,193.14888906675216,986.111207538934,negbin_mask,792.9623184721818
AD_noncholera,4,reporting_aware,204.3975731423786,479.0424066427715,negbin_mask,274.6448335003929
AD_noncholera,4,zero_fill,204.28951836370388,479.1096198189248,negbin_mask,274.8201014552209
ALRI_u5,1,reporting_aware,20.255693178997067,18.970887843043688,negbin_mask,-1.2848053359533793
ALRI_u5,1,zero_fill,20.21204370381974,18.910467892629693,negbin_mask,-1.3015758111900482
ALRI_u5,2,reporting_aware,19.864271690499343,18.8101758409731,negbin_mask,-1.0540958495262451
ALRI_u5,2,zero_fill,19.829989244967518,18.75485180872288,negbin_mask,-1.0751374362446384
ALRI_u5,4,reporting_aware,19.026630365034265,18.372870695582183,negbin_mask,-0.6537596694520822
ALRI_u5,4,zero_fill,19.01367536431413,18.318997980933005,negbin_mask,-0.6946773833811228
Bloody_diarrhoea,1,reporting_aware,20.90845672709825,21.29318339878164,negbin_mask,0.3847266716833886
Bloody_diarrhoea,1,zero_fill,20.897077120818132,21.27257403355637,negbin_mask,0.3754969127382388
Bloody_diarrhoea,2,reporting_aware,21.52553417723564,22.562769683292736,negbin_mask,1.037235506057094
Bloody_diarrhoea,2,zero_fill,21.522064160189203,22.556546631822847,negbin_mask,1.0344824716336447
Bloody_diarrhoea,4,reporting_aware,22.92174466225518,23.59392422938168,negbin_mask,0.6721795671265021
Bloody_diarrhoea,4,zero_fill,22.923163044650554,23.572274154481683,negbin_mask,0.6491111098311286
Cut_leishmaniasis,1,reporting_aware,5.904402970068919,10.515535927067669,negbin_mask,4.61113295699875
Cut_leishmaniasis,1,zero_fill,6.160742524798337,10.450771997477508,negbin_mask,4.290029472679171
Cut_leishmaniasis,2,reporting_aware,5.938789780854872,10.510873100863035,negbin_mask,4.572083320008163
Cut_leishmaniasis,2,zero_fill,6.237510189490432,10.42519086474207,negbin_mask,4.187680675251639
Cut_leishmaniasis,4,reporting_aware,5.7653479712935685,10.315685404378906,negbin_mask,4.550337433085337
Cut_leishmaniasis,4,zero_fill,6.309903610152233,10.226092977122285,negbin_mask,3.916189366970052
Dog_bite,1,reporting_aware,16.370044815739675,25.37942281234164,negbin_mask,9.009377996601966
Dog_bite,1,zero_fill,16.31269275752875,25.573789494312795,negbin_mask,9.261096736784044
Dog_bite,2,reporting_aware,16.78755157979977,25.183250372507647,negbin_mask,8.395698792707876
Dog_bite,2,zero_fill,16.728215205628114,25.37257563559231,negbin_mask,8.644360429964195
Dog_bite,4,reporting_aware,17.767501505158545,24.34274865123,negbin_mask,6.5752471460714546
