component,horizon,mode,n,MAE,RMSE
base,1,reporting_aware,4215,44.356275059392715,140.52764129434615
base,1,zero_fill,4215,44.483910133153245,141.05986809483224
base,2,reporting_aware,3993,45.55186861406844,145.92243504033922
base,2,zero_fill,3993,44.948802767529145,143.8244711025731
base,4,reporting_aware,3552,47.92775189445542,154.1719249344832
base,4,zero_fill,3552,47.41980781872944,152.86492148341688
mask_full,1,reporting_aware,4215,44.32831236323419,139.72872732968366
mask_full,1,zero_fill,4215,44.5226460116565,141.64975422114784
mask_full,2,reporting_aware,3993,45.1848695791792,143.84741474720295
mask_full,2,zero_fill,3993,45.501072548789054,146.1923726607438
mask_full,4,reporting_aware,3552,47.712899132218844,152.48178290793084
mask_full,4,zero_fill,3552,47.45183342500102,153.09553789048792
missing_run,1,reporting_aware,4215,44.21070595202241,139.69197710268122
missing_run,1,zero_fill,4215,44.68395384586506,142.1203036503157
missing_run,2,reporting_aware,3993,45.28798307860061,144.26607856576715
missing_run,2,zero_fill,3993,45.29220682971137,144.9590247174563
missing_run,4,reporting_aware,3552,47.836413755963434,153.81903856055524
missing_run,4,zero_fill,3552,47.18255899738352,151.76412120211194
seen_lags,1,reporting_aware,4215,44.32208620247132,140.9967353593567
seen_lags,1,zero_fill,4215,44.49477547447763,141.16254777832108
seen_lags,2,reporting_aware,3993,45.4630219146757,144.67597304619014
seen_lags,2,zero_fill,3993,45.24218254816133,144.97957561361588
seen_lags,4,reporting_aware,3552,47.86275202158661,154.14158308418735
seen_lags,4,zero_fill,3552,47.74457719100682,153.90268550917162
