condition,horizon,mode,n,mask_MAE,nomask_MAE,mean_delta
AD_noncholera,1,reporting_aware,703,176.83927711522892,176.50937171570845,-0.3299053995204692
AD_noncholera,1,zero_fill,703,171.24108480305625,172.45872751740788,1.2176427143516542
AD_noncholera,2,reporting_aware,666,180.26875061609366,180.34351436204128,0.0747637459476173
AD_noncholera,2,zero_fill,666,176.0012101328116,176.08688469547525,0.08567456266361194
AD_noncholera,4,reporting_aware,592,191.6913699572152,191.03031604228002,-0.6610539149351723
AD_noncholera,4,zero_fill,592,187.14482345679727,186.6995987726462,-0.44522468415104854
ALRI_u5,1,reporting_aware,702,9.062124250427338,9.023798997313214,-0.038325253114123846
ALRI_u5,1,zero_fill,702,9.08769402023734,9.11399811619213,0.026304095954790132
ALRI_u5,2,reporting_aware,665,8.631413691487342,8.61605272165337,-0.015360969833972954
ALRI_u5,2,zero_fill,665,8.662694752009179,8.656689059526157,-0.006005692483022989
ALRI_u5,4,reporting_aware,592,8.257744596506353,8.231967115737941,-0.025777480768413474
ALRI_u5,4,zero_fill,592,8.377051751322721,8.384402175752166,0.007350424429444289
Bloody_diarrhoea,1,reporting_aware,702,10.753418185416026,10.750923727514468,-0.002494457901559277
Bloody_diarrhoea,1,zero_fill,702,10.59816755903519,10.641572138400857,0.04340457936566614
Bloody_diarrhoea,2,reporting_aware,665,10.929784263694604,10.897882028818842,-0.03190223487576199
Bloody_diarrhoea,2,zero_fill,665,10.823356451776045,10.851675560126235,0.028319108350189786
Bloody_diarrhoea,4,reporting_aware,592,11.490681773194725,11.572287289386749,0.08160551619202253
Bloody_diarrhoea,4,zero_fill,592,11.305191200176495,11.372715685280236,0.0675244851037379
Cut_leishmaniasis,1,reporting_aware,702,5.407502209281684,5.539489242598087,0.13198703331640274
Cut_leishmaniasis,1,zero_fill,702,5.494698490334697,5.546031141348569,0.05133265101387227
Cut_leishmaniasis,2,reporting_aware,665,5.432934154465587,5.507270848773396,0.07433669430780872
Cut_leishmaniasis,2,zero_fill,665,5.71885618586277,5.9459711585889785,0.22711497272620806
Cut_leishmaniasis,4,reporting_aware,592,5.288613878545648,5.50600634881258,0.2173924702669326
Cut_leishmaniasis,4,zero_fill,592,5.293325291201866,5.294411042361173,0.0010857511593079677
Dog_bite,1,reporting_aware,701,11.203991296266977,11.342080966248314,0.13808966998133634
Dog_bite,1,zero_fill,701,11.436967737627722,11.434435626981523,-0.0025321106461989465
Dog_bite,2,reporting_aware,664,11.184514628357359,11.372656596885866,0.18814196852850706
Dog_bite,2,zero_fill,664,11.334382906791086,11.279718135791883,-0.054664770999202444
Dog_bite,4,reporting_aware,591,11.405015705827688,11.44896856695981,0.04395286113212127
Dog_bite,4,zero_fill,591,11.359657419352818,11.457082988740789,0.09742556938797134
ILI,1,reporting_aware,702,34.019894528581226,34.176609557755484,0.1567150291742585
ILI,1,zero_fill,702,33.891056650225636,34.01572155463912,0.12466490441348227
ILI,2,reporting_aware,665,33.551184054132264,33.30720331722274,-0.24398073690952193
ILI,2,zero_fill,665,34.201023220587395,34.24982194528213,0.048798724694738733
ILI,4,reporting_aware,592,32.68312671167158,32.62310279265588,-0.060023919015701546
ILI,4,zero_fill,592,32.557828594080476,32.48371879770023,-0.07410979638025736
Malaria,1,reporting_aware,703,30.262335492032115,30.342600959007665,0.08026546697554938
Malaria,1,zero_fill,703,29.428694127240306,29.93297702613698,0.5042828988966802
Malaria,2,reporting_aware,666,30.480571720802562,30.794956967325806,0.3143852465232467
Malaria,2,zero_fill,666,30.051719520470552,30.412939406423956,0.36121988595340265
Malaria,4,reporting_aware,592,32.95352459237881,32.699232780182925,-0.25429181219588626
Malaria,4,zero_fill,592,32.5478869001496,32.357535939277255,-0.19035096087234984
Measles,1,reporting_aware,665,5.051012864150249,5.172179790128802,0.121166925978553
Measles,1,zero_fill,665,6.063997301866262,6.319508718761019,0.25551141689475676
Measles,2,reporting_aware,628,5.171360495140445,5.264817851817483,0.093457356677038
Measles,2,zero_fill,628,6.171900117021784,6.3698362216218944,0.1979361046001105
Measles,4,reporting_aware,555,5.087657385677317,5.336396656516062,0.24873927083874486
Measles,4,zero_fill,555,6.385449606475017,6.50916463024182,0.12371502376680274
SARI,1,reporting_aware,665,6.783641698208914,6.775039985862942,-0.008601712345972193
SARI,1,zero_fill,665,6.414458487247594,6.5114538961086295,0.09699540886103451
