mechanism,rate,condition,horizon,n_districts,zero_MAE,aware_MAE,delta_zero_minus_aware,share_districts_aware_better
block,0.1,AD_noncholera,1,37,195.04331081081082,192.76466216216215,2.278648648648648,0.8648648648648649
block,0.1,AD_noncholera,2,37,230.97614864864866,225.5410810810811,5.435067567567566,0.972972972972973
block,0.1,AD_noncholera,4,37,252.78290540540542,242.48817567567568,10.294729729729731,0.9459459459459459
block,0.1,ALRI_u5,1,37,9.469918207681365,9.40451280227596,0.06540540540540539,0.5405405405405406
block,0.1,ALRI_u5,2,37,10.778769559032716,10.644039829302987,0.13472972972972969,0.6216216216216216
block,0.1,ALRI_u5,4,37,11.79593172119488,11.702215504978662,0.09371621621621622,0.4864864864864865
block,0.1,Bloody_diarrhoea,1,37,12.40351706970128,12.356625177809388,0.04689189189189193,0.7027027027027027
block,0.1,Bloody_diarrhoea,2,37,13.515341394025604,13.430273826458036,0.08506756756756755,0.6216216216216216
block,0.1,Bloody_diarrhoea,4,37,13.894800853485064,13.718719772403983,0.17608108108108106,0.7837837837837838
block,0.1,ILI,1,37,33.971813655761025,33.84417852062589,0.1276351351351351,0.43243243243243246
block,0.1,ILI,2,37,37.69025960170697,37.310259601706974,0.37999999999999995,0.43243243243243246
block,0.1,ILI,4,37,43.72688122332859,43.44459815078236,0.2822830725462304,0.4594594594594595
block,0.1,Malaria,1,37,29.99331081081081,29.607499999999998,0.38581081081081087,0.6486486486486487
block,0.1,Malaria,2,37,35.16844594594595,34.43344594594595,0.7349999999999999,0.7837837837837838
block,0.1,Malaria,4,37,38.526959459459455,37.3904054054054,1.1365540540540542,0.7297297297297297
block,0.1,Typhoid,1,37,6.389459459459459,6.344256756756757,0.04520270270270268,0.5945945945945946
block,0.1,Typhoid,2,37,6.569864864864865,6.495067567567568,0.07479729729729731,0.5135135135135135
block,0.1,Typhoid,4,37,7.027297297297297,6.938716216216217,0.08858108108108106,0.43243243243243246
block,0.2,AD_noncholera,1,37,196.86986486486484,193.00655405405405,3.8633108108108107,0.9459459459459459
block,0.2,AD_noncholera,2,37,234.1949324324324,226.02324324324326,8.171689189189188,0.972972972972973
block,0.2,AD_noncholera,4,37,258.0915540540541,242.1772972972973,15.914256756756757,0.972972972972973
block,0.2,ALRI_u5,1,37,9.483161450924609,9.395120910384067,0.08804054054054052,0.5405405405405406
block,0.2,ALRI_u5,2,37,10.857215504978663,10.660458748221906,0.19675675675675675,0.6216216216216216
block,0.2,ALRI_u5,4,37,11.764647937411095,11.49032361308677,0.27432432432432435,0.5405405405405406
block,0.2,Bloody_diarrhoea,1,37,12.471692745376956,12.37020625889047,0.10148648648648655,0.7837837837837838
block,0.2,Bloody_diarrhoea,2,37,13.633652204836414,13.440746799431011,0.19290540540540543,0.7027027027027027
block,0.2,Bloody_diarrhoea,4,37,14.032030583214793,13.704733285917497,0.32729729729729734,0.7837837837837838
block,0.2,ILI,1,37,34.54438122332859,34.02904338549076,0.5153378378378379,0.6216216216216216
block,0.2,ILI,2,37,38.496813655761024,37.73505689900427,0.7617567567567567,0.4864864864864865
block,0.2,ILI,4,37,44.017400426742526,43.91631223328592,0.10108819345661427,0.3783783783783784
block,0.2,Malaria,1,37,30.155135135135136,29.661351351351353,0.4937837837837838,0.8108108108108109
block,0.2,Malaria,2,37,35.29662162162162,34.534864864864865,0.7617567567567567,0.8108108108108109
block,0.2,Malaria,4,37,38.601351351351354,37.63675675675675,0.9645945945945945,0.6216216216216216
block,0.2,Typhoid,1,37,6.396621621621621,6.357905405405406,0.03871621621621617,0.6486486486486487
block,0.2,Typhoid,2,37,6.600202702702703,6.523445945945946,0.07675675675675675,0.6216216216216216
block,0.2,Typhoid,4,37,7.084256756756757,6.948243243243243,0.13601351351351346,0.5945945945945946
block,0.4,AD_noncholera,1,37,203.76,194.56844594594594,9.191554054054054,0.9459459459459459
block,0.4,AD_noncholera,2,37,246.54067567567566,228.5031756756757,18.0375,1.0
block,0.4,AD_noncholera,4,37,277.3791891891892,243.90445945945947,33.47472972972973,0.972972972972973
block,0.4,ALRI_u5,1,37,9.609580369843528,9.524039829302987,0.08554054054054049,0.5675675675675675
block,0.4,ALRI_u5,2,37,11.109647937411097,10.92559388335704,0.18405405405405398,0.5675675675675675
block,0.4,ALRI_u5,4,37,11.988499288762448,11.980931721194878,0.007567567567567639,0.5405405405405406
block,0.4,Bloody_diarrhoea,1,37,12.600949502133714,12.387030583214795,0.213918918918919,0.7837837837837838
block,0.4,Bloody_diarrhoea,2,37,13.823584637268848,13.435949502133713,0.38763513513513514,0.7837837837837838
block,0.4,Bloody_diarrhoea,4,37,14.357300853485066,13.701219772403983,0.6560810810810811,0.7567567567567568
block,0.4,ILI,1,37,34.799313655761026,34.1676386913229,0.6316749644381225,0.5405405405405406
block,0.4,ILI,2,37,39.2899893314367,38.38562588904695,0.9043634423897581,0.5135135135135135
block,0.4,ILI,4,37,44.483118776671404,45.00535917496443,-0.5222403982930297,0.32432432432432434
block,0.4,Malaria,1,37,30.669594594594596,29.737027027027025,0.9325675675675676,0.7027027027027027
block,0.4,Malaria,2,37,36.4147972972973,34.623513513513515,1.7912837837837834,0.7297297297297297
block,0.4,Malaria,4,37,40.528513513513516,37.964864864864865,2.5636486486486487,0.6756756756756757
block,0.4,Typhoid,1,37,6.509391891891892,6.372972972972973,0.13641891891891886,0.7567567567567568
block,0.4,Typhoid,2,37,6.796418918918919,6.592702702702703,0.2037162162162162,0.6756756756756757
block,0.4,Typhoid,4,37,7.311891891891892,7.0862837837837835,0.2256081081081081,0.5675675675675675
block,0.6,AD_noncholera,1,37,208.4991891891892,195.05824324324323,13.440945945945947,0.9459459459459459
block,0.6,AD_noncholera,2,37,256.7658783783784,229.3357432432432,27.430135135135135,1.0
block,0.6,AD_noncholera,4,37,291.88013513513516,242.41939189189188,49.46074324324324,0.972972972972973
block,0.6,ALRI_u5,1,37,9.742688477951635,9.56647226173542,0.17621621621621614,0.5405405405405406
block,0.6,ALRI_u5,2,37,11.472688477951635,11.003769559032717,0.46891891891891885,0.6216216216216216
block,0.6,ALRI_u5,4,37,12.225661450924608,12.056187766714082,0.1694736842105263,0.4864864864864865
block,0.6,Bloody_diarrhoea,1,37,12.781084637268847,12.42824679943101,0.35283783783783795,0.7837837837837838
