mode,model,n,MAE,dataset
reporting_aware,last,11760,49.454336734693875,full_test_block
reporting_aware,lightgbm_mask,11760,45.44223918219145,full_test_block
reporting_aware,lightgbm_nomask,11760,45.39926470393881,full_test_block
reporting_aware,mean4,11760,46.930059523809526,full_test_block
reporting_aware,negbin_mask,11760,112.698167816937,full_test_block
reporting_aware,poisson_mask,11760,112.698167816937,full_test_block
reporting_aware,random_forest_mask,11760,46.21412726917321,full_test_block
reporting_aware,ridge_mask,11760,176.197746142631,full_test_block
reporting_aware,seasonal,11760,77.00646258503401,full_test_block
zero_fill,last,11760,49.454336734693875,full_test_block
zero_fill,lightgbm_mask,11760,44.5516279028953,full_test_block
zero_fill,lightgbm_nomask,11760,44.65855528803571,full_test_block
zero_fill,mean4,11760,46.93001700680272,full_test_block
zero_fill,negbin_mask,11760,172.53924771171847,full_test_block
zero_fill,poisson_mask,11760,112.6749379371956,full_test_block
zero_fill,random_forest_mask,11760,46.28812328780119,full_test_block
zero_fill,ridge_mask,11760,152.4753796393444,full_test_block
zero_fill,seasonal,11760,77.2641156462585,full_test_block
reporting_aware,last,11094,49.571119524067065,flagged_weeks_excluded
reporting_aware,lightgbm_mask,11094,44.98520846423375,flagged_weeks_excluded
reporting_aware,lightgbm_nomask,11094,44.94322343573182,flagged_weeks_excluded
reporting_aware,mean4,11094,47.39800793221561,flagged_weeks_excluded
reporting_aware,negbin_mask,11094,112.57857459739047,flagged_weeks_excluded
reporting_aware,poisson_mask,11094,112.57857459739047,flagged_weeks_excluded
reporting_aware,random_forest_mask,11094,45.88091286765538,flagged_weeks_excluded
reporting_aware,ridge_mask,11094,178.59053821020578,flagged_weeks_excluded
reporting_aware,seasonal,11094,77.6396250225347,flagged_weeks_excluded
zero_fill,last,11094,49.571119524067065,flagged_weeks_excluded
zero_fill,lightgbm_mask,11094,44.116704611293144,flagged_weeks_excluded
zero_fill,lightgbm_nomask,11094,44.191830871410176,flagged_weeks_excluded
zero_fill,mean4,11094,47.397962862808726,flagged_weeks_excluded
zero_fill,negbin_mask,11094,171.3289533320458,flagged_weeks_excluded
zero_fill,poisson_mask,11094,112.54814753448404,flagged_weeks_excluded
zero_fill,random_forest_mask,11094,45.92786481959569,flagged_weeks_excluded
zero_fill,ridge_mask,11094,154.69588302266575,flagged_weeks_excluded
zero_fill,seasonal,11094,77.91274562826753,flagged_weeks_excluded
