block_start,horizon,mode,n,MAE,RMSE
80,1,reporting_aware,2720,52.439017376493545,133.06681243585578
80,1,zero_fill,2720,52.442382624407955,132.22029350891881
80,2,reporting_aware,2722,44.27687826447052,107.16611673200411
80,2,zero_fill,2722,44.40722766429787,107.46148890295962
80,4,reporting_aware,2713,39.07588740763933,98.59211180335151
80,4,zero_fill,2713,39.78540417363542,98.16313886527955
100,1,reporting_aware,2722,51.082916362699194,161.17049059892878
100,1,zero_fill,2722,50.456544578607094,163.23554098495273
100,2,reporting_aware,2720,51.634728784710546,162.42771628232802
100,2,zero_fill,2720,50.35088769856898,160.56687576635716
100,4,reporting_aware,2719,52.815277876953914,175.31813228436795
100,4,zero_fill,2719,52.884151990948354,175.34695618203676
120,1,reporting_aware,2649,40.682522746582784,109.28282179399314
120,1,zero_fill,2649,40.64472895502217,108.6504505351471
120,2,reporting_aware,2648,37.140882320931766,92.65474518122444
120,2,zero_fill,2648,37.17145151080729,93.39744817115267
120,4,reporting_aware,2646,33.47463195565782,83.9320454471488
120,4,zero_fill,2646,33.594220776273296,84.44226856057736
140,1,reporting_aware,2655,33.27417802683342,92.79362152305191
140,1,zero_fill,2655,33.17599861752673,93.28429439366015
140,2,reporting_aware,2658,33.99182538458958,93.85323156105412
140,2,zero_fill,2658,34.1038590469869,93.75707511008693
140,4,reporting_aware,2661,34.44558637530456,96.01075160545648
140,4,zero_fill,2661,34.254949645984205,95.53762807711995
